,Plain,fresh_milk_compositions,rework_compositions,mixing_ds,mixing_target
Fat,960.0,280.0,27.94447613614755,652.0555238638525,0.021735184128795083
Snf,2466.3,556.5,71.79110572352158,1838.0088942764787,0.06126696314254929
Protein,1200.0,196.0,34.93059517018444,969.0694048298155,0.03230231349432718
Stabilizer_a,0.0,0.0,0.0,0.0,0.0
Stabilizer_b,54.9,0.0,1.5980747290359383,53.30192527096406,0.0017767308423654688
Cocoa_a,0.0,0.0,0.0,0.0,0.0
Cocoa_b,0.0,0.0,0.0,0.0,0.0
Sugar,0.0,0.0,0.0,0.0,0.0
Minor,51.9,0.0,1.5107482411104771,50.38925175888952,0.0016796417252963173
